82.57666666666667,84.595,84.94166666666666,85.10666666666667,85.04833333333333,85.38333333333334,85.47833333333334,85.63,85.645,85.715,85.65,85.795,85.73333333333333,85.68166666666667,85.64,85.91833333333334,85.84,85.91166666666666,85.895,85.875,85.925,86.05833333333334,85.875,85.87333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80.97,81.95,85.29,84.72,85.2,83.42,81.33,82.37,80.75,83.29,82.92,80.99,84.51,83.38,80.86,83.4,81.05,83.86,84.41,83.39,81.35,82.34,84.25,80.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
934,0,0,12,0,10,9,6,7,2,
0,1108,0,6,3,0,4,1,13,0,
13,36,601,252,2,3,65,16,29,15,
4,1,4,964,1,1,2,14,4,15,
4,1,6,4,657,0,30,7,13,260,
9,10,3,183,16,513,29,29,47,53,
9,5,0,4,2,10,923,1,4,0,
1,6,13,33,13,1,1,890,4,66,
3,30,5,228,16,5,26,10,568,83,
5,6,0,26,6,0,2,23,2,939,
