80.82833333333333,84.92,85.555,85.90333333333334,85.99166666666666,86.05333333333333,86.17333333333333,86.28166666666667,86.13333333333334,86.16833333333334,86.195,86.13666666666667,86.095,86.2,86.35666666666667,86.18333333333334,86.28833333333333,86.11166666666666,86.22333333333333,86.35,86.29,86.29666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83.6,84.92,85.56,84.26,84.69,83.9,81.79,79.04,82.51,82.89,84.55,80.48,80.72,82.57,79.55,82.58,83.32,82.47,83.09,83.49,84.21,83.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
952,0,2,2,0,4,5,3,7,5,
0,1116,2,2,0,2,2,2,9,0,
14,43,727,124,7,18,26,9,53,11,
3,2,9,942,2,13,2,14,10,13,
4,4,8,11,713,2,29,6,32,173,
8,4,4,141,7,584,19,9,72,44,
16,6,4,1,2,23,893,1,11,1,
3,11,15,17,7,2,1,872,23,77,
7,34,4,183,12,13,10,4,650,57,
8,6,3,36,6,3,2,19,15,911,
