82.70166666666667,84.52833333333334,84.96666666666667,85.15,85.40166666666667,85.50166666666667,85.37833333333333,85.45166666666667,85.58666666666667,85.64166666666667,85.55333333333333,85.72666666666667,85.76666666666667,85.81333333333333,85.77166666666666,85.82166666666667,85.855,85.77166666666666,86.045,85.855,85.94833333333334,86.05833333333334,85.81333333333333,85.94166666666666,85.98,86.06,86.13333333333334,85.84833333333333,85.93166666666667,86.09666666666666,85.98333333333333,86.235,85.97666666666667,86.16833333333334,86.08333333333333,86.38166666666666,86.115,86.14166666666667,86.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83.17,83.01,83.59,83.93,83.58,84.53,84.99,82.24,84.37,84.4,83.61,84.32,83.92,85.26,84.65,84.43,82.17,84.56,83.56,83.85,84.72,83.09,79.42,84.72,81.25,84.12,82.08,83.73,86.1,85.04,79.13,84.27,82.63,82.83,82.81,85.17,86.38,83.67,83.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
807,0,2,7,0,95,30,2,30,7,
0,1110,0,6,0,2,4,1,12,0,
1,47,637,188,5,27,44,2,76,5,
3,2,5,919,2,42,3,7,13,14,
0,2,5,1,774,7,40,2,14,137,
2,4,2,44,11,740,15,5,47,22,
2,5,1,1,1,27,913,0,8,0,
0,12,21,35,11,11,1,812,11,114,
0,25,4,92,9,58,16,4,674,92,
1,6,5,16,9,16,3,17,5,931,
